"header","predicate","type","value","attribute","subject_id"
"skos_prefLabel_en","skos:prefLabel","language",,"en","$root"
"skos_definition_en","skos:definition","language",,"en","$root"
"skos_prefLabel_pt","skos:prefLabel","language",,"pt","$root"
"skos_definition_pt","skos:definition","language",,"pt","$root"
"skos_prefLabel_de","skos:prefLabel","language",,"de","$root"
"skos_definition_de","skos:definition","language",,"de","$root"
"skos_prefLabel_es","skos:prefLabel","language",,"es","$root"
"skos_definition_es","skos:definition","language",,"es","$root"
"skos_prefLabel_zh_hans","skos:prefLabel","language",,"zh-hans","$root"
"skos_definition_zh_hans","skos:definition","language",,"zh-hans","$root"
"skos_prefLabel_zh_hant","skos:prefLabel","language",,"zh-hant","$root"
"skos_definition_zh_hant","skos:definition","language",,"zh-hant","$root"
