header,predicate,type,value,attribute,subject_id
version_isDefinedBy,rdfs:isDefinedBy,iri,,,$root
version_isDefinedBy,dcterms:isPartOf,iri,,,$root
version_issued,dcterms:issued,datatype,,xsd:date,$root
version_status,tdwgutility:status,datatype,,xsd:string,$root
replaces_version,dcterms:replaces,iri,,,$root
replaces1_version,dcterms:replaces,iri,,,$root
replaces2_version,dcterms:replaces,iri,,,$root
controlledValueString,rdf:value,plain,,,$root
englishPreferredLabel,rdfs:label,language,,en,$root
englishPreferredLabel,skos:prefLabel,language,,en,$root
schemeLocalIdentifier,skos:inScheme,iri,lbp:,,$root
broaderTermLocalIdentifier,skos:broader,iri,lbp:,,$root
englishDefinition,rdfs:comment,language,,en,$root
englishDefinition,skos:definition,language,,en,$root
usageGuidelines,skos:scopeNote,language,,en,$root
comments,dcterms:description,language,,en,$root
executiveDecisionIri,tdwgutility:decision,iri,,,$root
type,rdf:type,iri,skos:,,$root
term_localName,dcterms:isVersionOf,iri,http://rs.tdwg.org/lbp/concepts/,,$root
