header,predicate,type,value,attribute,subject_id
term_isDefinedBy,rdfs:isDefinedBy,iri,,,$root
term_isDefinedBy,dcterms:isPartOf,iri,,,$root
term_created,dcterms:created,datatype,,xsd:date,$root
term_modified,dcterms:modified,datatype,,xsd:date,$root
term_deprecated,owl:deprecated,datatype,,xsd:boolean,$root
replaces_term,dcterms:replaces,iri,,,$root
replaces1_term,dcterms:replaces,iri,,,$root
replaces2_term,dcterms:replaces,iri,,,$root
controlledValueString,rdf:value,plain,,,$root
englishPreferredLabel,rdfs:label,language,,en,$root
englishPreferredLabel,skos:prefLabel,language,,en,$root
schemeLocalIdentifier,skos:inScheme,iri,lbp:,,$root
broaderTermLocalIdentifier,skos:broader,iri,lbp:,,$root
englishDefinition,rdfs:comment,language,,en,$root
englishDefinition,skos:definition,language,,en,$root
usageGuidelines,skos:scopeNote,language,,en,$root
comments,dcterms:description,language,,en,$root
executiveDecisionIri,tdwgutility:decision,iri,,,$root
type,rdf:type,iri,skos:,,$root
